input1,input2,class
27.15787179,40.35281898,none
27.45450783,40.45305922,thumb
28.50789364,40,none
30.00499958,40.20199,none
44.27301661,160.4549781,thumb
34.58612439,92.82133375,none
29.95913884,41.2825629,none
29.50762613,40.45305922,none
29.36749904,40.25232913,none
29.70353514,40.050593,none
29.358985,40.15158776,thumb
29.16761903,40,none
40.52715139,146.8226822,thumb
34.62296925,86,none
29.80603966,42.46292501,none
28.85740806,40.60295556,none
29.15733184,40.30260537,none
27.21212965,40.15158776,none
28.56483853,40.5030863,thumb
29.40578174,40.10112218,none
29.39302638,48.20529017,none
36.52670256,127.8821723,thumb
32.76202069,64.09485159,none
29.80603966,40.75598116,none
29.10670026,40.30260537,none
28.90328701,40.15158776,none
29.3035834,40,none
29.60405378,40.15158776,none
29.50932056,41.21892769,none
32.90896534,86.91605145,none
34.84609017,103.6539917,thumb
31.10787682,42.13312236,none
30.10647771,40.30260537,none
29.16247589,40.20199,none
29.15733184,40.25232913,none
29.45420174,40.40297019,thumb
28.66269352,40.20199,none
29.37941456,52.57946367,none
40.75598116,165.0475689,thumb
32.61288089,57.83683947,none
29.46099116,41.16612685,none
29.25833215,40.45305922,none
28.35753868,40.30260537,none
27.56174886,40.30260537,none
29.45420174,40.30260537,none
29.70858462,59.87695717,none
38.47206779,157.850879,thumb
31.18813877,78.97657881,none
29.75819215,40.90598978,none
29.45420174,40.40297019,none
29.15218688,40.60295556,thumb
28.85220962,40.15158776,none
29.26004101,40.15158776,none
31.04351784,107.3939011,none
38.4317577,131.6394698,thumb
32.09283409,46.52741128,none
29.40918224,40.75230055,none
28.7036583,40.65279818,none
29.15733184,40.40297019,none
28.85740806,40.40297019,none
29.42957696,77.7811031,none
41.36121372,130.595176,thumb
32.84965753,66.14605052,none
29.60405378,42.01190308,none
29.75819215,40.30260537,none
29.00517195,40.25232913,none
29.60405378,40.5030863,thumb
29.05081754,40.30260537,none
33.20391543,104.7372904,none
37.12950309,109.0403595,thumb
31.0652539,44.67046004,none
29.3035834,40.45305922,none
29.45420174,40.20199,none
30.26962174,40.40297019,thumb
29.70858462,40.30260537,none
29.21129918,41.45660382,none
39.23518829,209.9262966,thumb
32.37282811,107.1708916,none
29.55418752,41.33158598,none
29.25833215,40.25232913,none
30.91116303,40.30260537,thumb
29.3035834,40.15158776,none
31.56818018,40,none
31.71750305,40.45305922,none
38.21256338,97.01597807,none
39.14077158,157.5099997,thumb
33.09078422,53.43407153,none
32.45381334,42.64973622,none
30.05910844,41.61369967,none
29.15218688,40.30260537,none
29.55418752,40.45305922,thumb
29.50423698,40.30260537,none
29.75315109,40.46047454,none
45.20895929,132.6474651,thumb
