0117,0026,0068
0117,0036,0068
0117,0036,0051
0107,0036,0051
0107,0038,0051
0107,0038,0048
0109,0038,0048
0109,0038,0048
0109,0038,0045
0112,0038,0045
0112,0033,0045
0112,0033,0040
0102,0033,0040
0102,0030,0040
0102,0030,0038
0098,0030,0038
0098,0037,0038
0098,0037,0039
0111,0037,0039
0111,0047,0039
0111,0047,0050
0147,0047,0050
0147,0066,0050
0147,0066,0107
0410,0066,0107
0410,0457,0107
0410,0457,0509
0342,0457,0509
0342,0302,0509
0342,0302,0242
0207,0302,0242
0207,0121,0242
0207,0121,0099
0147,0121,0099
0147,0223,0099
0147,0223,0050
0136,0223,0050
0136,0218,0050
0136,0218,0041
0136,0218,0041
0136,0172,0041
0136,0172,0039
0124,0172,0039
0124,0126,0039
0124,0126,0038
0107,0126,0038
0107,0082,0038
0107,0082,0038
0109,0082,0038
0109,0053,0038
0109,0053,0037
0110,0053,0037
0110,0036,0037
0110,0036,0037
0098,0036,0037
0098,0020,0037
0098,0020,0038
0100,0020,0038
0100,0020,0038
0100,0020,0079
0497,0020,0079
0497,0618,0079
0497,0618,0589
0363,0618,0589
0363,0377,0589
0363,0377,0209
0185,0377,0209
0185,0117,0209
0185,0117,0066
0127,0117,0066
0127,0058,0066
0127,0058,0045
0116,0058,0045
0116,0057,0045
0116,0057,0040
0101,0057,0040
0101,0045,0040
0101,0045,0038
0100,0045,0038
0100,0022,0038
0100,0022,0038
0107,0022,0038
0107,0022,0038
0107,0022,0038
0100,0022,0038
0100,0016,0038
0100,0016,0037
0094,0016,0037
0094,0018,0037
0094,0018,0037
0104,0018,0037
0104,0014,0037
0104,0014,0038
0106,0014,0038
0106,0028,0038
0106,0028,0038
0146,0028,0038
0146,0070,0038
0146,0070,0241
0432,0070,0241
0432,0499,0241
0432,0499,0538
0326,0499,0538
0326,0308,0538
0326,0308,0195
0177,0308,0195
0177,0103,0195
0177,0103,0071
0115,0103,0071
0115,0045,0071
0115,0045,0045
0112,0045,0045
0112,0043,0045
0112,0043,0039
0108,0043,0039
0108,0036,0039
0108,0036,0038
0096,0036,0038
0096,0023,0038
0096,0023,0037
0100,0023,0037
0100,0016,0037
0100,0016,0038
0107,0016,0038
0107,0016,0038
0107,0016,0038
0099,0016,0038
0099,0017,0038
0099,0017,0036
0096,0017,0036
0096,0017,0036
0096,0017,0041
0107,0017,0041
0107,0023,0041
0107,0023,0038
0164,0023,0038
0164,0057,0038
0164,0057,0266
0509,0057,0266
0509,0594,0266
0509,0594,0599
0338,0594,0599
0338,0285,0599
0338,0285,0195
0180,0285,0195
0180,0084,0195
0180,0084,0072
0123,0084,0072
0123,0105,0072
0123,0105,0046
0115,0105,0046
0115,0112,0046
0115,0112,0040
0118,0112,0040
0118,0086,0040
0118,0086,0038
0109,0086,0038
0109,0042,0038
0109,0042,0038
0096,0042,0038
0096,0023,0038
0096,0023,0038
0103,0023,0038
0103,0016,0038
0103,0016,0038
0106,0016,0038
0106,0018,0038
0106,0018,0037
0096,0018,0037
0096,0020,0037
0096,0020,0037
0098,0020,0037
0098,0023,0037
0098,0023,0054
0112,0023,0054
0112,0027,0054
0112,0027,0053
0198,0027,0053
0198,0089,0053
0198,0089,0215
0353,0089,0215
0353,0561,0215
0353,0561,0863
0430,0561,0863
