255.6962065,128.5974339,flick
102.1099897,19.05518302,none
163.7038485,81.33695347,none
142.5298214,86.04533689,flick
100.7323185,22.02158032,none
222.3054205,138.5555845,flick
105.8874402,45.88736209,none
107.2730162,31.05398525,none
208.9380291,124.7186834,flick
103.9216051,29.64962057,none
103.8999519,40.38254573,none
215.3053645,113.7152145,flick
120.1478256,54.69506376,none
104.1549327,38.31122551,none
213.7735952,83.72215955,flick
124.5224879,57.87443304,none
147.0380903,56.24499978,none
190.9459348,89.52485688,flick
102.7153835,28.6513525,none
176.2337936,89.50111731,flick
106.2092275,54.23744094,none
202.6609237,72.45860887,flick
135.242375,69.79720625,none
103.0257249,32.82605672,none
235.8848236,112.3029385,flick
108.7326998,56.62993908,none
103.5707488,33.33166662,none
185.6038793,83.38405123,flick
104.2132429,29.69595932,none
103.1588581,26.09118625,none
230.4159283,104.1426906,flick
103.6395195,32.48153322,none
231.4782927,88.32242071,flick
108.5532128,40.29702222,none
188.7099626,64.57902136,flick
114.6906709,51.59118142,none
125.0513894,28.69581851,none
234.9920211,187.7170743,flick
111.3000449,93.17429903,none
150.9463481,41.80610003,none
193.1445055,82.74237125,flick
105.3059827,43.38490521,none
198.7796519,82.83990584,flick
122.2125198,44.54548237,none
103.6209438,24.39467155,none
172.3278851,74.22802705,flick
104.4712879,37.0971697,none
199.0146979,83.5897721,flick
116.8644514,45.52142353,none
102.6798422,27.80737312,none
198.6457903,89.63871931,flick
103.9550384,37.88535337,none
184.0135865,79.83576893,flick
114.3000437,55.18197169,none
